Antibiotic_Name,Drug_Class,Target_Mechanism,PubChem_CID,Molecular_Weight,LogP,Num_H_Donors,Num_H_Acceptors,TPSA,Canonical_SMILES
Amikacin,Aminoglycosides,30S Ribosomal Subunit Inhibition,37768,585.61,-8.42,13.0,17.0,331.94,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)NC(=O)C(CCN)O
Amoxicillin,Penicillins,PBP Transpeptidase Cell Wall Inhibition,33613,365.41,0.02,4.0,6.0,132.96,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
Azithromycin,Macrolides,50S Ribosomal Subunit (Peptidyltransferase) Inhibition,55185,704.94,2.15,4.0,13.0,159.85,CCC1C(C(C(N(C)CC(CC(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O
Cefotaxime,Cephalosporins (3rd Gen),PBP Inhibition (Broad Spectrum),5742673,455.47,-0.62,3.0,11.0,173.51,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O
Ceftazidime,Cephalosporins (3rd Gen),PBP3 Inhibition (Anti-Pseudomonal),5479530,546.59,-1.3,3.0,11.0,191.22,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
Ceftriaxone,Cephalosporins (3rd Gen),PBP Inhibition (Long Half-life),5479529,554.59,-1.61,4.0,13.0,214.96,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
Ciprofloxacin,Fluoroquinolones,DNA Gyrase (gyrA) & Topoisomerase IV Inhibition,2764,331.35,1.58,2.0,4.0,74.57,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Colistin,Polymyxins,Lipid A / Outer Membrane Permeabilization,5311054,1042.29,-6.36,17.0,17.0,461.56,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CCN)C(C)O)CCN
Doxycycline,Tetracyclines,30S Ribosomal A-site tRNA Binding Inhibition,54671203,428.44,0.53,5.0,8.0,161.39,CC1C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C
Ethambutol,Anti-tubercular,Arabinosyl Transferase (embB) Cell Wall Inhibition,14052,204.31,-0.29,4.0,4.0,64.52,CCC(CO)NCCNC(CC)CO
Gentamicin,Aminoglycosides,30S Ribosomal Mistranslation & Membrane Disruption,3467,477.6,-3.33,8.0,12.0,199.73,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
Imipenem,Carbapenems,High-affinity PBP2 Inhibition & Beta-lactamase Resistance,104838,284.34,0.52,3.0,5.0,101.69,CC(C1C2C(C(=O)N2C(=C1SCC=N)C(=O)O)C)O
Isoniazid,Anti-tubercular,InhA Mycolic Acid Biosynthesis Inhibition (katG activated),3767,137.14,-0.31,2.0,3.0,68.01,C1=CN=CC=C1C(=O)NN
Levofloxacin,Fluoroquinolones,DNA Topoisomerase IV & Gyrase Inhibition (L-isomer),28267,361.37,1.54,1.0,5.0,75.01,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Linezolid,Oxazolidinones,50S 23S rRNA Ribosomal Peptidyl Initiation Complex Blocker,441401,337.35,1.12,1.0,5.0,71.11,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F
Meropenem,Carbapenems,Broad PBP2/3 Inhibition (Stable against dehydropeptidase),441130,383.47,-0.31,3.0,6.0,110.18,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O
Minocycline,Tetracyclines,30S Ribosomal Subunit Inhibition (Lipophilic derivative),54675783,473.48,-0.48,6.0,10.0,184.86,CN(C)C1=C(C=CC2=C1C(C3CC4C(C(=O)C(=C(C4(C(=O)C3=C2O)O)O)C(=O)N)N(C)C)O)O
Nalidixic Acid,Quinolones,Topoisomerase II / DNA Gyrase subunit A Inhibition,4439,232.24,1.42,1.0,3.0,72.19,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
Piperacillin,Penicillins,PBP3 Cell Wall Synthesis Inhibition (Ureidopenicillin),43672,517.56,-0.24,3.0,7.0,156.43,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
Rifampicin,Rifamycins,Bacterial DNA-dependent RNA Polymerase (rpoB) beta-subunit Inhibition,5281079,560.65,4.22,4.0,9.0,134.93,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(C=C1C)C)C)O)O)C=NN5CCN(CC5)C)C
