Antibiotic_Name,Target_Mechanism,PubChem_CID,Molecular_Weight,LogP,Num_H_Donors,Num_H_Acceptors,TPSA,Canonical_SMILES,Cost_Per_Dose_INR,Bioavailability_Percent,Administration_Route,WHO_AWaRe_Category,ICMR_Estimated_Resistance_Rate_India,Clinical_Guideline_Status,EUCAST_Susceptible_Breakpoint_mg_L,EUCAST_Resistant_Breakpoint_mg_L,Drug_Class
Amikacin,30S Ribosomal Subunit Inhibition,37768,585.61,-8.42,13.0,17.0,331.94,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)NC(=O)C(CCN)O,180,10.0,IV / IM,Access,34.0%,Hospital use; monitor renal function,8.0,16.0,Aminoglycosides
Amoxicillin,PBP Transpeptidase Cell Wall Inhibition,33613,365.41,0.02,4.0,6.0,132.96,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,35,80.0,Oral / IV,Access,58.0%,First-line empirical; widespread beta-lactamase resistance,8.0,8.0,Penicillins
Azithromycin,50S Ribosomal Subunit (Peptidyltransferase) Inhibition,55185,704.94,2.15,4.0,13.0,159.85,CCC1C(C(C(N(C)CC(CC(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O,85,38.0,Oral / IV,Watch,38.0%,Watch group; respiratory and STI infections,1.0,2.0,Macrolides
Cefotaxime,PBP Inhibition (Broad Spectrum),5742673,455.47,-0.62,3.0,11.0,173.51,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,150,10.0,IV / IM,Watch,72.1%,High ESBL resistance; restricted for serious inpatient sepsis,1.0,2.0,Cephalosporins (3rd Gen)
Ceftazidime,PBP3 Inhibition (Anti-Pseudomonal),5479530,546.59,-1.3,3.0,11.0,191.22,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],280,10.0,IV,Watch,68.5%,Pseudomonas active; preserve for targeted therapies,1.0,4.0,Cephalosporins (3rd Gen)
Ceftriaxone,PBP Inhibition (Long Half-life),5479529,554.59,-1.61,4.0,13.0,214.96,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,95,10.0,IV / IM,Watch,75.0%,Critically overused; high ESBL hydrolytic failure,1.0,2.0,Cephalosporins (3rd Gen)
Ciprofloxacin,DNA Gyrase (gyrA) & Topoisomerase IV Inhibition,2764,331.35,1.58,2.0,4.0,74.57,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,15,70.0,Oral / IV,Watch,65.0%,High resistance in Enterobacterales; avoid empiric monotherapy,0.25,0.5,Fluoroquinolones
Colistin,Lipid A / Outer Membrane Permeabilization,5311054,1042.29,-6.36,17.0,17.0,461.56,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CCN)C(C)O)CCN,2500,5.0,IV / Inhalation,Reserve,3.2%,Last-resort carbapenem-resistant reserve; strict stewardship,2.0,4.0,Polymyxins
Doxycycline,30S Ribosomal A-site tRNA Binding Inhibition,54671203,428.44,0.53,5.0,8.0,161.39,CC1C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C,45,95.0,Oral / IV,Access,28.5%,Access category; broad spectrum community coverage,1.0,2.0,Tetracyclines
Ethambutol,Arabinosyl Transferase (embB) Cell Wall Inhibition,14052,204.31,-0.29,4.0,4.0,64.52,CCC(CO)NCCNC(CC)CO,25,80.0,Oral,Access,15.0%,Core first-line RNTCP/NTEP Anti-TB regimen component,2.0,4.0,Anti-tubercular
Gentamicin,30S Ribosomal Mistranslation & Membrane Disruption,3467,477.6,-3.33,8.0,12.0,199.73,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,120,5.0,IV / IM,Access,37.3%,Access category synergist; nephrotoxicity monitoring needed,2.0,4.0,Aminoglycosides
